DOI,MATERIAL 1,MATERIAL 2,MATERIAL 3,MATERIAL 4,Electrolyte Concentration,ELECTROLYTE ,Electrode Configuration,Cell Configuration,Specific Surface Area(m2/g),Pore Size(mm),CURRENT DENSITY(A/g),Voltage Window,Cycle Number,Pore Volume(cm3/g),Scan Rate(mv/s),Capacitance(F/g)
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,106.49,218.22
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,119.74,216.77
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,132.98,203.32
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,146.22,184.98
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,159.46,178.31
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,172.71,175.60
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,185.95,172.92
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,6000,0.9,196.60,170.92
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,291.68,0.9,20,220.51
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,966.96,0.9,20,209.13
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,1859.54,0.9,20,200.77
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,2703.21,0.9,20,192.42
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,3525.50,0.9,20,183.17
10.1016/j.jpowsour.2011.06.038,Graphene nanosheets,SnO2,MWCNTs,,20, KOH,two electrode configuration,supercapacitor test cell,350,0.000005,6,-0.05,4991.05,0.9,20,176.12
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,91,7.12,123.70,285.59
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,104,7.12,123.70,288.03
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,117,7.12,123.70,278.25
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,130,7.12,123.70,272.32
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,143,7.12,123.70,272.97
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,156,7.12,123.70,272.56
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,169,7.12,123.70,266.22
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,182,7.12,123.70,265.63
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,195,7.12,123.70,264.33
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,208,7.12,123.70,260.73
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,221,7.12,123.70,260.65
